242,57,662
255,60,332
218,75,285
288,104,438
334,259,462
170,163,214
248,124,216
160,224,255
169,206,316
137,131,362
5,53,430
76,30,195
91,26,163
130,47,193
136,129,221
98,90,109
150,74,114
83,136,148
102,80,221
76,75,228
482,45,192
290,96,108
200,102,146
221,174,195
320,309,261
188,180,119
226,157,132
140,235,168
146,144,218
140,120,242
175,25,48
92,35,37
61,34,40
88,64,80
100,103,113
82,76,54
105,55,50
87,87,61
58,63,104
65,59,110
154,10,57
96,21,38
47,24,45
70,50,75
68,76,90
27,51,39
68,30,48
32,69,53
48,50,67
24,39,78
287,127,33
165,99,44
115,75,50
170,136,88
186,201,103
105,137,65
155,105,69
76,172,77
72,111,152
63,63,187
57,29,26
36,20,8
34,19,12
35,37,27
40,70,24
9,25,11
46,28,17
30,17,10
28,30,28
21,16,25
94,99,102
102,65,60
94,56,63
129,71,88
180,139,112
68,97,61
128,51,51
87,118,68
71,100,90
51,49,127
46,167,188
97,106,93
114,92,118
167,133,126
201,255,169
140,135,91
176,108,73
131,181,107
112,115,196
75,109,228
19,28,182
33,14,87
42,17,60
49,30,89
93,77,105
50,40,48
76,39,42
66,70,59
39,74,102
46,37,73
38,35,164
38,28,86
39,25,101
65,21,124
94,73,162
63,44,76
102,25,67
48,50,70
49,44,131
30,41,120
317,30,114
190,62,86
113,41,96
185,74,155
208,159,156
108,80,49
126,83,70
107,128,94
84,75,173
70,54,180
240,9,28
134,24,29
71,35,56
80,51,69
94,85,100
59,47,37
82,36,59
50,93,47
65,52,71
37,47,98
26,169,13
78,108,27
95,104,40
133,128,52
134,213,96
113,106,60
127,103,57
102,149,90
97,112,119
67,76,154
62,152,237
119,134,120
132,96,131
219,143,147
277,321,199
123,133,80
179,139,73
113,257,145
130,163,181
115,119,253
1,54,58
35,42,44
52,39,39
65,43,69
85,89,59
63,51,30
86,62,41
61,95,34
32,71,52
28,42,87
252,3,38
143,32,31
94,31,33
99,58,57
125,136,97
58,87,37
72,40,43
50,80,65
55,55,120
47,40,117
14,154,96
89,105,53
92,90,75
155,97,85
156,183,102
96,107,43
111,72,46
75,156,63
87,110,101
73,82,136
34,1,156
56,3,70
40,10,67
48,13,104
43,33,91
34,17,28
43,8,35
29,21,43
32,21,56
16,18,58
228,30,25
112,48,28
100,27,30
109,67,44
102,119,70
59,72,55
107,56,49
66,120,54
62,64,73
52,48,110
